model,method,n_seeds,worst_mean,worst_min,worst_max,worst_range,avg_mean
llama31_8b,dare,2,0.2169,0.2127,0.221,0.0082,0.0481
llama31_8b,knots,2,0.2168,0.213,0.2206,0.0077,0.048
llama31_8b,task_arithmetic,2,0.2172,0.2132,0.2211,0.0079,0.0481
llama31_8b,ties,2,0.1525,0.1471,0.158,0.0109,0.0236
llama31_8b,tvq_b1,2,0.2376,0.2341,0.2412,0.0071,0.1444
llama31_8b,tvq_b16,2,0.2173,0.2128,0.2218,0.009,0.0481
llama31_8b,tvq_b2,2,0.1076,0.1013,0.114,0.0128,0.0185
llama31_8b,tvq_b32,2,0.217,0.2128,0.2213,0.0084,0.048
llama31_8b,tvq_b4,2,0.217,0.2133,0.2208,0.0075,0.048
llama31_8b,tvq_b8,2,0.2175,0.2131,0.2219,0.0088,0.0482
mistral_7b,dare,2,0.1388,0.1342,0.1434,0.0092,0.0179
mistral_7b,knots,2,0.1372,0.132,0.1423,0.0103,0.0184
mistral_7b,task_arithmetic,2,0.1378,0.1325,0.1432,0.0107,0.0184
mistral_7b,ties,2,0.0518,0.0494,0.0542,0.0048,0.0165
mistral_7b,tvq_b1,2,5.1989,0.321,10.0769,9.7558,4.5004
mistral_7b,tvq_b16,2,0.138,0.1331,0.1428,0.0097,0.0186
mistral_7b,tvq_b2,2,0.0582,0.0537,0.0627,0.009,0.0135
mistral_7b,tvq_b32,2,0.1381,0.1332,0.143,0.0098,0.0183
mistral_7b,tvq_b4,2,0.1382,0.1333,0.1431,0.0099,0.0186
mistral_7b,tvq_b8,2,0.1379,0.1325,0.1433,0.0109,0.0185
qwen25_7b,dare,2,0.1074,0.1066,0.1082,0.0016,0.0206
qwen25_7b,knots,2,0.105,0.104,0.106,0.002,0.0198
qwen25_7b,task_arithmetic,2,0.1048,0.1036,0.106,0.0024,0.0198
qwen25_7b,ties,2,0.013,0.013,0.0131,0.0001,-0.0086
qwen25_7b,tvq_b1,2,0.1376,0.1347,0.1404,0.0058,0.0855
qwen25_7b,tvq_b16,2,0.1054,0.1043,0.1066,0.0023,0.02
qwen25_7b,tvq_b2,2,0.0193,0.0192,0.0193,0.0001,-0.0064
qwen25_7b,tvq_b32,2,0.1055,0.1047,0.1063,0.0016,0.0199
qwen25_7b,tvq_b4,2,0.1053,0.1039,0.1067,0.0028,0.0199
qwen25_7b,tvq_b8,2,0.1052,0.1038,0.1065,0.0027,0.0199
yi15_9b,dare,2,0.101,0.1009,0.1012,0.0003,0.012
yi15_9b,knots,2,0.0985,0.098,0.099,0.0009,0.0109
yi15_9b,task_arithmetic,2,0.0985,0.0982,0.0989,0.0007,0.0109
yi15_9b,ties,2,0.0456,0.0449,0.0464,0.0015,0.0042
yi15_9b,tvq_b1,2,0.3002,0.2975,0.3029,0.0054,0.2205
yi15_9b,tvq_b16,2,0.0987,0.0983,0.099,0.0007,0.0109
yi15_9b,tvq_b2,2,0.0591,0.0574,0.0608,0.0034,0.0179
yi15_9b,tvq_b32,2,0.0986,0.0982,0.099,0.0008,0.0109
yi15_9b,tvq_b4,2,0.0983,0.0979,0.0987,0.0008,0.011
yi15_9b,tvq_b8,2,0.0987,0.0983,0.099,0.0007,0.0109
