T,method,n_subsets,worst_mean,worst_min,worst_max,worst_range,avg_mean
2,dare,4,0.0266,0.0187,0.0375,0.0188,-0.0185
2,knots,4,0.0274,0.0194,0.0363,0.0169,-0.0165
2,rd_ridge,4,0.0278,0.0165,0.0412,0.0247,0.0084
2,ta,4,0.0273,0.0192,0.0364,0.0172,-0.0167
2,ties,4,0.0251,0.0149,0.0369,0.022,-0.0075
2,tvq_b2,4,0.111,0.0577,0.1794,0.1217,0.0835
4,dare,4,0.0672,0.0558,0.0747,0.0189,0.021
4,knots,4,0.0664,0.0561,0.0746,0.0184,0.0207
4,rd_ridge,4,0.0837,0.045,0.1172,0.0722,0.0231
4,ta,4,0.0665,0.0562,0.0746,0.0184,0.0208
4,ties,4,0.0952,0.0578,0.1207,0.063,0.0306
4,tvq_b2,4,0.1008,0.0644,0.1298,0.0654,0.0386
7,dare,1,0.1302,0.1302,0.1302,0.0,0.0347
7,knots,1,0.1276,0.1276,0.1276,0.0,0.0324
7,rd_ridge,1,0.1154,0.1154,0.1154,0.0,0.0242
7,ta,1,0.1279,0.1279,0.1279,0.0,0.0325
7,ties,1,0.1476,0.1476,0.1476,0.0,0.051
7,tvq_b2,1,0.1109,0.1109,0.1109,0.0,0.0384
