T,method,n_subsets,worst_mean,worst_min,worst_max,worst_range,avg_mean
2,dare,4,0.0692,0.0297,0.1199,0.0902,0.0507
2,knots,4,0.068,0.0291,0.1162,0.0872,0.0499
2,rd_ridge,4,0.0572,0.0313,0.0828,0.0515,0.0379
2,ta,4,0.0682,0.0292,0.1165,0.0873,0.05
2,ties,4,0.0635,0.037,0.116,0.079,0.0383
2,tvq_b2,4,0.0635,0.0332,0.0959,0.0626,0.0418
4,dare,4,0.1533,0.0595,0.2366,0.177,0.0687
4,knots,4,0.1529,0.0593,0.2353,0.176,0.0684
4,rd_ridge,4,0.104,0.0498,0.1934,0.1436,0.0595
4,ta,4,0.1527,0.0594,0.2355,0.1761,0.0684
4,ties,4,0.1259,0.0545,0.2098,0.1554,0.0574
4,tvq_b2,4,0.113,0.0614,0.1635,0.1022,0.0578
7,dare,1,0.2648,0.2648,0.2648,0.0,0.0856
7,knots,1,0.2648,0.2648,0.2648,0.0,0.0855
7,rd_ridge,1,0.138,0.138,0.138,0.0,0.0559
7,ta,1,0.2647,0.2647,0.2647,0.0,0.0857
7,ties,1,0.2318,0.2318,0.2318,0.0,0.0709
7,tvq_b2,1,0.2148,0.2148,0.2148,0.0,0.0694
