T,method,n_subsets,worst_mean,worst_min,worst_max,worst_range,avg_mean
2,dare,4,0.0273,0.0061,0.042,0.0359,0.0141
2,knots,4,0.0273,0.0059,0.0422,0.0363,0.0145
2,rd_ridge,4,0.0376,0.0205,0.0563,0.0358,0.0211
2,ta,4,0.0272,0.006,0.0421,0.0361,0.0143
2,ties,4,0.032,0.0076,0.0473,0.0397,0.0157
2,tvq_b2,4,0.0554,0.0251,0.0888,0.0637,0.0293
4,dare,4,0.1078,0.061,0.1563,0.0952,0.0372
4,knots,4,0.1079,0.062,0.1551,0.0931,0.0373
4,rd_ridge,4,0.0881,0.0698,0.1106,0.0407,0.0357
4,ta,4,0.1081,0.0623,0.1552,0.0928,0.0373
4,ties,4,0.0949,0.0754,0.1128,0.0374,0.04
4,tvq_b2,4,0.0815,0.0642,0.0978,0.0336,0.0335
7,dare,1,0.2441,0.2441,0.2441,0.0,0.0635
7,knots,1,0.2441,0.2441,0.2441,0.0,0.0638
7,rd_ridge,1,0.1145,0.1145,0.1145,0.0,0.0411
7,ta,1,0.2438,0.2438,0.2438,0.0,0.064
7,ties,1,0.1516,0.1516,0.1516,0.0,0.0538
7,tvq_b2,1,0.1767,0.1767,0.1767,0.0,0.0425
